,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2009-03-27,172.158,190.66,168.2005,186.8015,35.8916,14924966.0,0.0,1.0
2009-03-26,159.2955,172.356,157.416,170.872,32.8309,11489159.0,0.0,1.0
2009-03-25,160.3345,161.2745,153.359,158.306,30.4165,7299973.0,0.0,1.0
2009-03-24,165.232,170.1295,159.098,160.3345,30.8061,10208856.0,0.0,1.0
2009-03-23,163.2535,172.0095,162.907,164.292,31.5666,13750422.0,0.0,1.0
2009-03-20,166.2215,172.554,157.465,159.1965,30.5875,10129733.0,0.0,1.0
2009-03-19,177.105,178.886,166.4195,169.7835,32.6218,6016071.0,0.0,1.0
2009-03-18,174.5325,179.2325,171.9105,174.582,33.5437,6574579.0,0.0,1.0
2009-03-17,165.133,171.5645,160.285,170.2285,32.7073,7334756.0,0.0,1.0
2009-03-16,162.264,167.2605,161.2745,164.6385,31.6332,5810187.0,0.0,1.0
2009-03-13,148.412,162.1155,147.4225,159.8895,30.7208,9343202.0,0.0,1.0
2009-03-12,140.497,145.147,137.9245,144.405,27.7455,5401930.0,0.0,1.0
2009-03-09,137.034,139.0125,134.214,135.253,25.9871,2742093.0,0.0,1.0
2009-03-06,136.638,138.0235,134.0655,137.034,26.3294,3870589.0,0.0,1.0
2009-03-05,143.366,145.79,136.4895,137.8255,26.4814,5371316.0,0.0,1.0
2009-03-04,145.444,146.285,138.0725,141.585,27.2039,4641414.0,0.0,1.0
2009-03-03,142.4755,148.1155,139.0125,140.4475,26.985,4398528.0,0.0,1.0
2009-03-02,144.5535,152.271,141.585,144.108,27.6886,6398975.0,0.0,1.0
2009-02-27,148.412,154.8435,143.9595,147.868,28.411,9811247.0,0.0,1.0
2009-02-26,141.486,150.094,137.133,148.412,28.5154,11000784.0,0.0,1.0
2009-02-25,133.7195,139.458,132.2845,138.3695,26.5859,4396375.0,0.0,1.0
2009-02-24,131.592,132.4825,128.8215,130.7015,25.1126,2253996.0,0.0,1.0
2009-02-20,132.1855,133.5215,129.0195,132.334,25.4262,1789377.0,0.0,1.0
2009-02-19,133.571,135.055,130.009,133.175,25.5878,1444582.0,0.0,1.0
2009-02-18,128.624,133.076,128.129,131.8395,25.3313,1780276.0,0.0,1.0
2009-02-17,133.571,134.0655,129.0195,130.108,24.9986,1811006.0,0.0,1.0
2009-02-16,138.518,141.2885,133.6205,134.659,25.8729,3486912.0,0.0,1.0
2009-02-13,136.0445,137.875,133.67,136.3905,26.2057,3517880.0,0.0,1.0
2009-02-12,134.511,136.737,131.0975,134.61,25.8636,2607902.0,0.0,1.0
2009-02-11,136.836,136.836,131.592,134.511,25.8447,2230189.0,0.0,1.0
2009-02-10,142.4755,142.4755,136.193,137.38,26.3957,2627656.0,0.0,1.0
2009-02-09,138.0235,142.624,136.341,139.9525,26.89,1946329.0,0.0,1.0
2009-02-06,131.8395,138.122,131.493,136.1435,26.1583,3378358.0,0.0,1.0
2009-02-05,128.6735,131.493,126.744,130.108,24.9986,3085902.0,0.0,1.0
2009-02-04,136.44,136.44,131.394,133.818,25.7114,2290285.0,0.0,1.0
2009-02-03,144.4545,144.4545,130.6025,132.087,25.3788,7175727.0,0.0,1.0
2009-02-02,124.666,146.4335,124.666,141.14,27.1182,1770513.0,0.0,1.0
2009-01-30,149.352,149.6985,143.465,148.066,28.4489,2736013.0,0.0,1.0
2009-01-29,148.412,151.677,142.525,148.9565,28.6201,2429777.0,0.0,1.0
2009-01-28,145.444,146.8785,142.2775,145.1965,27.8976,2676741.0,0.0,1.0
2009-01-27,138.419,140.497,134.5605,138.815,26.6715,1671449.0,0.0,1.0
2009-01-23,134.3625,138.2705,128.723,133.67,25.683,3883000.0,0.0,1.0
2009-01-22,138.518,143.366,130.1575,131.295,25.2267,4657004.0,0.0,1.0
2009-01-21,142.3765,148.313,136.836,138.518,26.6144,3323973.0,0.0,1.0
2009-01-20,148.907,148.907,143.5145,144.1575,27.6981,1592892.0,0.0,1.0
2009-01-19,153.359,154.2495,146.2355,148.5605,28.544,2169501.0,0.0,1.0
2009-01-16,158.0095,158.0095,146.6805,151.776,29.1619,1994403.0,0.0,1.0
2009-01-15,153.359,153.359,143.9595,149.55,28.7342,2778311.0,0.0,1.0
2009-01-14,158.306,158.306,151.43,155.041,29.7892,2043220.0,0.0,1.0
2009-01-13,160.186,160.186,150.589,153.6065,29.5137,2101441.0,0.0,1.0
2009-01-12,159.2955,165.9245,154.6455,160.186,30.7777,1577474.0,0.0,1.0
2009-01-09,171.1685,171.1685,155.8325,161.522,31.0344,1754624.0,0.0,1.0
2009-01-07,186.999,186.999,167.211,170.8225,32.8213,2709023.0,0.0,1.0
2009-01-06,178.0945,185.416,175.1265,183.734,35.302,5049196.0,0.0,1.0
2009-01-05,183.0415,183.0415,173.6915,177.0555,34.019,3768544.0,0.0,1.0
2009-01-02,175.1265,180.5185,168.2995,173.4935,33.3345,6188203.0,0.0,1.0
2009-01-01,156.3275,175.077,156.3275,169.1405,32.4982,2983817.0,0.0,1.0
2008-12-31,159.2955,161.1755,154.398,157.3665,30.236,2848959.0,0.0,1.0
2008-12-30,147.4225,155.734,147.4225,154.4475,29.6751,3452695.0,0.0,1.0
2008-12-29,148.412,153.953,143.267,147.225,28.2875,4926174.0,0.0,1.0
2008-12-26,163.2535,163.6985,152.716,153.953,29.5801,2522978.0,0.0,1.0
2008-12-24,168.2005,168.2005,156.377,157.96,30.35,2857449.0,0.0,1.0
2008-12-23,178.0945,182.052,169.6845,172.999,33.2396,3515409.0,0.0,1.0
2008-12-22,177.402,189.918,177.402,186.109,35.7585,4811424.0,0.0,1.0
2008-12-19,170.4265,184.328,169.2885,177.402,34.0856,7048935.0,0.0,1.0
2008-12-18,163.2535,176.1155,157.8115,171.7625,33.002,6838053.0,0.0,1.0
2008-12-17,165.133,168.0025,158.306,160.384,30.8158,4065184.0,0.0,1.0
2008-12-16,156.3275,165.628,152.37,163.204,31.3575,5782665.0,0.0,1.0
2008-12-15,157.8115,162.165,154.1505,156.4265,30.0553,2826385.0,0.0,1.0
2008-12-12,153.359,154.7445,145.444,152.4685,29.2949,3562629.0,0.0,1.0
2008-12-11,163.2535,170.9705,156.3275,158.8505,30.5211,5638924.0,0.0,1.0
2008-12-10,155.338,167.6065,144.7515,161.3735,31.0057,5849857.0,0.0,1.0
2008-12-08,161.967,164.7375,148.6595,150.391,28.8957,3747461.0,0.0,1.0
2008-12-05,150.391,157.7125,146.1365,151.4795,29.1049,3870422.0,0.0,1.0
2008-12-04,133.373,151.3805,131.592,149.3025,28.6867,5028638.0,0.0,1.0
2008-12-03,133.571,133.571,128.129,131.79,25.3218,3501007.0,0.0,1.0
2008-12-02,131.3445,131.3445,123.6765,127.041,24.4093,1881952.0,0.0,1.0
2008-12-01,134.5605,136.836,130.652,131.3445,25.2361,1569757.0,0.0,1.0
2008-11-28,133.571,137.281,131.9385,134.9065,25.9205,1659947.0,0.0,1.0
2008-11-26,138.518,139.4085,134.412,138.2705,26.5669,2159036.0,0.0,1.0
2008-11-25,140.299,140.299,131.0975,134.3625,25.8163,2057071.0,0.0,1.0
2008-11-24,132.6805,136.5885,128.624,131.988,25.3598,2530649.0,0.0,1.0
2008-11-21,124.666,133.472,122.885,132.1855,25.3978,2830463.0,0.0,1.0
2008-11-20,120.7085,130.009,120.7085,125.1115,24.0386,3285293.0,0.0,1.0
2008-11-19,138.419,141.0905,132.5815,133.769,25.702,3430758.0,0.0,1.0
2008-11-18,139.5075,144.3555,133.769,137.2315,26.3672,5188536.0,0.0,1.0
2008-11-17,138.419,140.9915,128.871,138.963,26.7,4886357.0,0.0,1.0
2008-11-14,157.317,157.317,134.115,135.5,26.0346,5501059.0,0.0,1.0
2008-11-12,153.656,154.3485,143.564,148.066,28.4489,5092924.0,0.0,1.0
2008-11-11,165.43,170.575,152.37,153.656,29.523,3807178.0,0.0,1.0
2008-11-10,162.7585,169.1405,157.663,168.0025,32.2797,4095879.0,0.0,1.0
2008-11-07,149.5005,160.7305,146.4335,157.218,30.2076,4970346.0,0.0,1.0
2008-11-06,169.19,173.1475,152.914,157.465,30.2549,5733813.0,0.0,1.0
2008-11-05,199.1195,202.83,175.3735,179.282,34.4468,4605196.0,0.0,1.0
2008-11-04,189.9675,194.8155,176.264,191.798,36.8515,5094187.0,0.0,1.0
2008-11-03,197.883,202.434,178.0945,188.879,36.2907,7731511.0,0.0,1.0
2008-10-31,163.2535,176.1155,158.801,169.9815,32.6599,2935056.0,0.0,1.0
2008-10-29,158.2075,163.0555,143.267,155.783,29.9317,3295916.0,0.0,1.0
2008-10-27,161.2745,174.137,131.592,138.5675,26.6239,6016162.0,0.0,1.0
2008-10-24,197.883,205.798,158.801,161.027,30.9393,4921034.0,0.0,1.0
2008-10-23,215.6925,216.6815,189.473,192.9355,37.0701,4286330.0,0.0,1.0
2008-10-22,244.237,244.237,222.6675,225.8335,43.3911,1581557.0,0.0,1.0
2008-10-21,247.3535,252.251,240.4275,245.1275,47.0981,8804909.0,0.0,1.0
2008-10-20,247.4525,256.258,230.187,241.318,46.3662,2022945.0,0.0,1.0
2008-10-17,257.3465,261.2055,237.4595,240.8235,46.2712,2465313.0,0.0,1.0
2008-10-16,267.142,276.4915,237.5585,247.8975,47.6303,4097107.0,0.0,1.0
2008-10-15,292.075,300.584,276.541,279.064,53.6186,1886758.0,0.0,1.0
2008-10-14,306.6195,310.676,292.0255,295.736,56.8219,4215758.0,0.0,1.0
2008-10-13,296.824,304.69,291.679,296.082,56.8886,2906402.0,0.0,1.0
2008-10-10,295.835,295.835,267.142,288.3645,55.4056,2107945.0,0.0,1.0
2008-10-08,309.6865,313.644,292.075,296.7255,57.012,4320886.0,0.0,1.0
2008-10-07,314.6335,322.351,309.934,313.2485,60.1866,1119552.0,0.0,1.0
2008-10-06,326.5065,335.263,307.757,310.5275,59.6639,1724339.0,0.0,1.0
2008-10-03,338.3795,338.3795,321.5595,327.199,62.8671,1281430.0,0.0,1.0
2008-10-01,346.295,346.295,332.4925,335.6585,64.4924,1387412.0,0.0,1.0
2008-09-30,345.256,351.242,334.521,340.5565,65.4336,2002210.0,0.0,1.0
2008-09-29,371.03,371.03,344.811,352.083,67.6483,835490.0,0.0,1.0
2008-09-26,376.9665,379.8855,361.136,369.348,70.9654,823129.0,0.0,1.0
2008-09-25,383.8925,385.7725,375.9775,379.8855,72.9902,871000.0,0.0,1.0
2008-09-24,386.861,397.596,379.836,383.843,73.7505,868994.0,0.0,1.0
2008-09-23,399.9705,415.059,385.6735,389.8785,74.9103,1512309.0,0.0,1.0
2008-09-22,420.7485,421.54,406.649,410.508,78.8738,1802335.0,0.0,1.0
2008-09-19,424.4585,430.395,414.07,418.3735,80.3851,1571936.0,0.0,1.0
2008-09-18,395.7655,413.031,388.9385,410.409,78.8548,637064.0,0.0,1.0
2008-09-17,398.734,415.9495,395.7655,413.278,79.4062,1455417.0,0.0,1.0
2008-09-16,376.9665,398.338,373.009,394.1825,75.7371,934321.0,0.0,1.0
2008-09-15,395.7655,400.7125,379.193,386.465,74.2543,1314217.0,0.0,1.0
2008-09-12,425.448,425.448,398.734,407.49,78.2942,1384122.0,0.0,1.0
2008-09-11,425.448,432.374,408.6775,419.66,80.6322,1005939.0,0.0,1.0
2008-09-10,412.091,416.9885,411.6455,414.119,79.5677,574052.0,0.0,1.0
2008-09-09,418.176,420.9955,335.4115,415.9495,79.9194,1415090.0,0.0,1.0
